	be	bg	ru	uk
a	27	55	531	184
b	1	5	112	29
c	1	21	235	82
d	7	17	213	53
e	19	45	580	158
f	5	8	102	51
g	1	13	138	45
h	3	10	150	30
i	197	90	678	204
j	4	0	30	3
k	5	20	70	13
l	13	26	288	72
m	4	33	209	62
n	17	50	382	99
o	18	48	402	111
p	2	17	180	45
q	0	0	15	3
r	17	36	401	94
s	4	46	399	83
t	14	26	355	103
u	6	22	193	55
v	3	17	128	41
w	5	6	75	26
x	2	24	129	58
y	6	6	78	25
z	0	2	10	23
а	5122	69084	28704	33839
б	524	8949	5525	6797
в	1029	24819	17128	21388
г	598	8079	6879	6271
д	996	18958	10748	13708
е	1319	49144	28518	18592
ж	172	3944	2742	3810
з	796	12470	5394	9048
и	0	49652	28301	26292
й	297	3007	5049	4853
к	1240	17131	12804	15307
л	1204	17488	15232	15347
м	1055	13183	11100	12541
н	2170	39707	23722	27436
о	904	47478	38077	37860
п	898	16396	9855	11304
р	1588	28614	19409	18495
с	1357	28056	20509	16310
т	1051	42484	20046	20517
у	1043	7367	8308	13871
ф	102	1766	1476	1080
х	346	3220	3592	4608
ц	808	3788	2109	3383
ч	411	6787	4234	5545
ш	280	2951	1939	3253
щ	0	3573	1209	2169
ъ	0	9426	111	0
ы	1373	0	6326	6
ь	399	155	4701	6836
э	445	0	996	0
ю	190	747	2181	3364
я	1021	10072	6657	8702
ё	115	0	845	0
є	0	0	0	1978
і	1526	0	5	23524
ї	0	0	2	2997
ў	702	0	0	0
ґ	0	0	0	108
	31465	549138	360567	402906
